source_ticker,canonical_ticker,effective_start,effective_end,reason
DAY,CDAY,2021-01-01,2024-01-31,Ticker changed from CDAY to DAY effective 2024-02-01; https://www.sec.gov/Archives/edgar/data/1725057/000095017024009619/day-20240131.htm
DAY,DAY,2024-02-01,2025-12-31,Ticker changed from CDAY to DAY effective 2024-02-01; https://www.sec.gov/Archives/edgar/data/1725057/000095017024009619/day-20240131.htm
MRSH,MMC,2021-01-01,2025-12-31,Ticker changes from MMC to MRSH after the cutoff in January 2026; https://www.marshmclennan.com/web-assets/files-for-download/investors/2025/pdf-2025-marsh-mclennan-investors-3q-news-release.pdf
